762,Gewässer in der Region Kayes
765,Programmiersprache
770,Piktogramm
770,Unterstützte Kommunikation
770,Plansprache
775,Bibliothekswesen
777,Abkürzung
788,Abkürzung
789,Autor
789,Drehbuchautor
789,Filmproduzent
789,Filmregisseur
789,Filmschauspieler
789,Oscarpreisträger
789,Franzose
789,Geboren 1937
789,Mann
796,Filmtechnik
796,Videotechnik
796,Medienwissenschaft
810,Chalkogen
810,Gruppe des Periodensystems
813,Längeneinheit
814,Elektromagnetische Einheit
816,Radioaktivitätseinheit
816,Marie Curie als Namensgeber
816,Pierre Curie
823,Filmschauspieler
823,Theaterschauspieler
823,Oscarpreisträger
823,Träger des Tony Award
823,Commander des Order of the British Empire
823,Waliser
823,Brite
823,Geboren 1969
823,Frau
827,Filmschauspieler
827,Drehbuchautor
827,Filmproduzent
827,Serbe
827,Geboren 1961
827,Frau
836,Abkürzung
850,Skriptsprache
850,World Wide Web
858,Abkürzung
871,Prätorianerpräfekt
871,Gestorben 283
871,Mann
883,Fruchtgemüse
883,Blattgemüse
883,Futterpflanze
883,Bohne
902,Chemiker
902,Hochschulberuf
912,Abkürzung
920,Thermodynamik
920,Energieform
920,Biochemie
920,Zellbiologie
933,Lateinische Phrase
933,Rechtssprache
933,Privatrechtsgeschichte
941,Computer Aided Engineering
977,Mengenlehre
977,Georg Cantor als Namensgeber
1002,Soziologische Systemtheorie
1010,Filmtitel 1984
1010,Jugendfilm
1010,Japanischer Film
1023,Krafteinheit
1024,Abkürzung
1029,Diät
1039,Filmschauspieler
1039,Geboren 1971
1039,Mann
1039,WCW World Heavyweight Champion
1071,Währungsname
1080,World Wide Web
1080,HTML
1082,Beschreibungssprache
1082,XML
1092,Dezember
1092,Monat des gregorianischen und julianischen Kalenders
1099,Thermodynamik
1099,Gas
1103,Videobandformat
1103,Digitales Magnetband
1103,Sony
1103,Abkürzung
1109,Abkürzung
1112,Europäische Urgeschichte
1112,Archäologischer Fachbegriff
1126,Gegründet 1950
1126,Aufgelöst 2006
1141,Donnerstag
1141,Thor
1147,Genetik
1152,Dogmatik
1152,Theologisches Fachgebiet
1158,Programmierwerkzeug
1161,Nachrichtentechnik
1161,Digitaltechnik
1162,Papierformat
1162,Briefwesen
1164,Taxonomie
1168,Gesellschaftstanz
1168,Paartanz
1171,Abkürzung
1179,Dateimanager
1205,Begriff aus der griechischen Mythologie
1205,Redewendung
1214,Abkürzung
1217,Aussagenlogik
1220,Abkürzung
1242,Filmgestaltung
1244,Filmtechnik
1244,Videotechnik
1244,Fototechnik
1257,Abkürzung
1296,Speichermodul
1296,Integrierter Schaltkreis
1301,Speichermodul
1317,Autor
1317,Fantasyliteratur
1317,Star Trek
1317,Roman, Epik
1317,Kurzgeschichte
1317,Erzählung
1317,Essay
1317,Lyrik
1317,Träger des Nebula Award
1317,Absolvent der Yale University
1317,Geboren 1951
1317,Frau
1331,Entomologie
1331,Larve
1331,Forstschädling
1352,Astrologe
1352,Person als Namensgeber für einen Mondkrater
1352,Geboren 1511
1352,Gestorben 1553
1352,Mann
1397,Compact Disc
1407,Meerenten und Säger
1422,Abkürzung
1426,Geldpolitik
1426,Finanzmarktgeschäft
1430,Abkürzung
1442,Mobilfunknetz
1446,Informatiker
1446,Graphentheoretiker
1446,Träger des Turing Award
1446,Mitglied der Königlich Niederländischen Akademie der Wissenschaften
1446,Mitglied der American Academy of Arts and Sciences
1446,Niederländer
1446,Geboren 1930
1446,Gestorben 2002
1446,Mann
1449,Physikalische Konstante
1449,Elektrostatik
1458,Sozialpsychologe
1458,Autor
1458,Essay
1458,Träger der Presidential Medal of Freedom
1458,Geboren 1902
1458,Gestorben 1983
1458,Mann
1462,Astrobiologie
1465,Metamorphes Gestein
1466,Enzyklopädist
1559,Freeware
1562,Wissenschaftstheorie
1574,Gegründet 1917
1574,Aufgelöst 1928
1580,Längeneinheit
1581,Nautik
1582,Elektromagnetische Einheit
1582,Michael Faraday als Namensgeber
1584,Angloamerikanische Einheit
1584,Volumeneinheit
1586,Energieeinheit
1614,Photometeor
1614,Optische Täuschung
1614,Italienische Phrase
1620,Département Doubs
1620,Französisches Département
1620,Gegründet 1790
1632,Football
1632,Torspiel
1634,Neue Improvisationsmusik
1635,Kartenspiel mit traditionellem Blatt
1635,Glücksspiel
1635,Casinospiel
1635,Historisches Spiel
1635,Wilder Westen
1641,Fahrzeug der unteren Mittelklasse
1641,Limousine
1641,Kombi
1645,Prätorianerpräfekt
1645,Annier
1645,Gestorben 276
1645,Mann
1676,Paartanz
1676,Turniertanz
1676,Tanz des westlichen Kulturkreises
1676,Gesellschaftstanz
1677,Frühgeschichte
1688,Fermion
1688,Quantenphysik
1688,Enrico Fermi als Namensgeber
1692,Freitag
1704,Taxonomie
1706,Physikalische Größenart
1719,Abkürzung
1720,FTP
1756,Literaturgattung
1756,Wissenschaftliches Publizieren
1756,Fachwissen
1765,Strömungsmechanik
1765,Thermodynamik
1770,Abkürzung
1783,Magmatisches Gestein
1783,Metamorphes Gestein
1785,Gezeiten
1789,Staatsmodell
1802,Goldene Himbeere
1802,Negative Auszeichnung
1802,Erstverleihung 1981
1813,Masseneinheit
1814,Temperatureinheit
1814,Anders Celsius
1815,Carl Friedrich Gauß als Namensgeber
1817,Temperatureinheit
1820,Angloamerikanische Volumeneinheit
1820,Biermaß
1821,Perlengewicht
1834,Therapeutisches Verfahren in der Viszeralchirurgie
1834,Operatives Therapieverfahren
1834,Magen
1851,Genetik
1851,Evolution
1856,Analytische Zahlentheorie
1856,Primzahl
1868,Gewässer in Libyen
1868,Bucht in Afrika
1868,Küstenregion des Mittelmeeres
1868,Libysches Meer
1868,Küste in Afrika
1902,Spieleautor
1902,Spieleverleger
1902,Autor
1902,Mitglied der Clausewitz Hall of Fame
1902,Fantasyliteratur
1902,Roman, Epik
1902,Kurzgeschichte
1902,Erzählung
1902,Essay
1902,Geboren 1938
1902,Gestorben 2008
1902,Mann
1947,Natürlicher Werkstoff
1947,Luftschifffahrttechnik
1947,Ware aus tierischen Produkten
1952,Gas
1957,Schmetterlingsblütler
1957,Futterpflanze
1957,Fruchtgemüse
1957,Bohne
1958,Tanzform
1958,Gesellschaftstanz
1969,Psychische Störung
1969,Geschichte der Psychiatrie
1971,Autor
1971,Australische Literatur
1971,Fantasyliteratur
1971,Roman, Epik
1971,Kurzgeschichte
1971,Erzählung
1971,Essay
1971,Träger des Hugo Award
1971,Träger des Locus Award
1971,Australier
1971,Geboren 1961
1971,Mann
